tag,category,aliases(if enabled)
1girl,General,"1girls,sole_female"
solo,General,"female_solo,solo_female"
long_hair,General,"/lh,longhair"
breasts,General,"/b,boobs,breast,breats,oppai,tits"
looking_at_viewer,General,"/lav,/pec,pov_eye_contact"
blush,General,"blushing,flush,flushed"
smile,General,":),:},smiling"
open_mouth,General,mouth_open
short_hair,General,"short-hair,shorthair"
shirt,General,"shirt_only,shirts"
simple_background,General,"/sbg,/simplebg"
blue_eyes,General,"blueeyes,light_blue_eyes"
long_sleeves,General,"long_sleeve,/lsleeves"
large_breasts,General,"big_breasts,large_boobs,large_breast,large_tits,/lb"
skirt,General,
blonde_hair,General,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
multiple_girls,General,/ngirls
white_background,General,"/wbg,/whitebg"
black_hair,General,"/blackh,black-hair,blackhair,dark_hair"
brown_hair,General,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
hair_ornament,General,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
1boy,General,"1boys,sole_male"
holding,General,"hold,holding_object"
gloves,General,glove
dress,General,
red_eyes,General,"red_eye,redeyes"
hat,General,
closed_mouth,General,
bow,General,bows
animal_ears,General,kemonomimi
hair_between_eyes,General,bangs_between_eyes
thighhighs,General,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
navel,General,"belly_button,bellybutton"
ribbon,General,ribbons
jewelry,General,"jewelery,jewellery"
2girls,General,"2girl,2_girls"
cleavage,General,"clevage,overboob"
bare_shoulders,General,"bare_shoulder,bareshoulders"
very_long_hair,General,"hair_past_waist,/vlh"
jacket,General,
sitting,General,"sit,sitting_down"
standing,General,
twintails,General,"/tt,twintaiks,twintail,twin_tails"
medium_breasts,General,
white_shirt,General,white_blouse
blue_hair,General,"/blueh,bluehair"
green_eyes,General,"green-eyes,greeneyes"
brown_eyes,General,"browneyes,light_brown_eyes"
nipples,General,nipple
full_body,General,
purple_eyes,General,"light_purple_eyes,purpleeyes,violet_eyes"
collarbone,General,"clavicle,clavicles,collarbones"
school_uniform,General,"/s,school_girl,schoolgirl,school_uniforms,seifuku"
underwear,General,"shitagi,undergarments"
tail,General,"animal_tail,animal_tails,shippo,tails"
upper_body,General,bust
male_focus,General,"boys_only,guys_only,male,male_only,man,men"
closed_eyes,General,eyes_closed
white_hair,General,whitehair
multicolored_hair,General,multicolor_hair
pink_hair,General,"magenta_hair,/pinkh,pinkhair"
yellow_eyes,General,"amber_eyes,golden_eyes,gold_eyes,hazel_eyes,hazeleyes,yelloweyes"
ponytail,General,"long_ponytail,pony_tail"
grey_hair,General,gray_hair
swimsuit,General,"bathing_suit,mizugi,swim_suit,swimsuits"
ahoge,General,
purple_hair,General,"lavender_hair,/purpleh,purple-hair,purplehair,violet_hair"
panties,General,"/p,pantie,pantsu,panty"
braid,General,"braided_hair,braids,hair_braid"
monochrome,General,"/m,monochome,monochorme,monochromatic"
short_sleeves,General,/ssleeves
flower,General,flowers
sidelocks,General,"forelocks,payot"
hair_ribbon,General,"hair_ribbons,/hribbon,ribbon_in_hair,ribbons_in_hair"
weapon,General,weapons
ass,General,"butt,butt_cheeks,buttocks,oshiri,rearend"
heart,General,"<3,hearts"
thighs,General,thigh
earrings,General,"aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,earring,ear_rings,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
cowboy_shot,General,
:d,General,
hetero,General,
outdoors,General,"outdoor,outside"
comic,General,"comics,manga"
pantyhose,General,"panty_hose,tights"
hair_bow,General,"hairbow,hair_bows"
sweat,General,sweating
red_hair,General,"/redh,redhair,red_head,redhead"
greyscale,General,"black_and_white,b&w,grayscale"
pleated_skirt,General,
teeth,General,bared_teeth
frills,General,"frill,frilled,frilly,ruffles"
bikini,General,
open_clothes,General,open_clothing
parted_lips,General,
nude,General,naked
small_breasts,General,
hairband,General,hair_band
multiple_boys,General,/nboys
horns,General,
collared_shirt,General,collared_blouse
censored,General,"censor,censoring"
boots,General,"boot,naked_boots"
necktie,General,"neck_tie,tie"
lying,General,"laying,laying_down,lying_down"
shorts,General,short_pants
food,General,
black_gloves,General,black_glove
wings,General,wing
sky,General,sky_background
alternate_costume,General,"/acos,alternate_outfit,alternate_outfit,alternative_costume"
one_eye_closed,General,wink
sleeveless,General,no_sleeves
pants,General,"long_pants,slacks,trousers"
detached_sleeves,General,"armsleeves,detached_sleeve,/dsleeves,naked_sleeves"
green_hair,General,"/greenh,greenhair"
shoes,General,shoe
penis,General,"cock,cocks,dick,dicks"
choker,General,
virtual_youtuber,General,vtuber
japanese_clothes,General,"japanese_clothing,traditional_japanese_clothes,wafuku"
pointy_ears,General,"elf_ears,elven_ears,long_ears,pointed_ears,pointy_ear,pointy-ears"
socks,General,"leghighs,naked_socks,sock"
medium_hair,General,shoulder-length_hair
artist_name,General,
tongue,General,tongues
barefoot,General,"bare_feet,barefeet,bare_foot"
glasses,General,"megane,meganekko,meganeko"
indoors,General,
pussy,General,"manko,vagina,vulva"
solo_focus,General,
black_thighhighs,General,
hand_up,General,"hand_raised,one_hand_raised,raised_hand"
puffy_sleeves,General,"/psleeves,puffy_shoulders"
belt,General,belts
day,General,
hairclip,General,"barrette,hair_clip,hair_clips,hairclips"
fang,General,
serafuku,General,"sailor_fuku,/se"
bowtie,General,"bow_tie,neck_bow"
2boys,General,2boy
elbow_gloves,General,"/eg,long_gloves,opera_gloves"
black_skirt,General,
signature,General,"artist_signature,autograph,signed"
white_gloves,General,white_glove
hood,General,
midriff,General,
blunt_bangs,General,
black_footwear,General,"black_boots,black_shoes"
cloud,General,clouds
dark_skin,General,"brown_skin,darkskin,dark_skin_female,dark_skinned_female"
cat_ears,General,"/cat,catears,nekomimi"
pink_eyes,General,
hair_flower,General,"flower_hair_ornament,flower_in_hair,hairflower,hair_flowers,/hflower"
tongue_out,General,
looking_back,General,"looking_over_shoulder,turning"
sailor_collar,General,
speech_bubble,General,"speech_balloon,text_bubble,word_bubble"
sword,General,swords
halo,General,
twitter_username,General,artist_twitter
white_dress,General,
stomach,General,
looking_at_another,General,
grey_background,General,"gray_background,/graybg,/greybg"
sex,General,"fuck,fucking"
holding_weapon,General,
miniskirt,General,"mini_skirt,short_skirt"
fingerless_gloves,General,fingerless_glove
wide_sleeves,General,/wsleeves
mole,General,beauty_mark
on_back,General,"lying_on_back,supine"
spread_legs,General,"legs_spread,open_legs,spread_leg"
streaked_hair,General,highlights
necklace,General,
hair_over_one_eye,General,"hair_over_eye,/hooe"
hair_bun,General,
cum,General,"cumshot,semen,sperm"
chibi,General,super_deformed
two-tone_hair,General,"/tth,two-tone-hair,two_tone_hair"
open_jacket,General,"open_blazer,open_track_jacket"
3girls,General,3girl
kimono,General,
english_text,General,english
armpits,General,"armpit,showing_armpits"
off_shoulder,General,"off-shoulder,off_shoulders"
nail_polish,General,"colored_nails,nailpolish,nail_varnish,painted_nails"
star_(symbol),General,
orange_hair,General,
black_jacket,General,black_blazer
black_dress,General,
striped_clothes,General,striped_clothing
grin,General,
tears,General,tear
from_behind,General,viewed_from_behind
black_eyes,General,dark_eyes
coat,General,
rabbit_ears,General,"bunny_ear,bunny_ears,rabbit_ear"
sweatdrop,General,"sweat_drop,sweat_drops,sweatdrops"
blurry,General,blurred
bag,General,bags
